Cluster_ID,Centroid_Lat,Centroid_Lon,Total_POI,parlimen,dun
373,2.781065567,101.6775397,3,P.113 Sepang,N.56 Sungai Pelek
374,2.885282967,101.791061,3,P.101 Hulu Langat,N.24 Semenyih
375,2.933397033,101.7654079,3,P.102 Bangi,N.26 Sungai Ramal
376,3.047888033,101.5853673,3,P.104 Subang,N.31 Subang Jaya
377,3.128438833,101.6167008,3,P.106 Damansara,N.36 Bandar Utama
378,3.438994333,101.6316608,3,P.094 Hulu Selangor,N.07 Batang Kali
379,3.057044367,101.4595991,3,P.110 Klang,N.45 Bandar Baru Klang
380,3.3803596,101.4132425,3,P.096 Kuala Selangor,N.11 Ijok
381,3.0106046,101.4655989,3,P.111 Kota Raja,N.48 Sentosa
382,3.062153267,101.7093226,3,P.122 Seputeh,P.122 Seputeh
383,2.932342467,101.8552618,3,P.101 Hulu Langat,N.24 Semenyih
384,2.8639936,101.6756843,3,P.113 Sepang,N.55 Dengkil
385,3.323298033,101.5770088,3,P.097 Selayang,N.14 Rawang
386,3.235674667,101.6721182,3,P.098 Gombak,N.16 Sungai Tua
387,3.2143028,101.644216,3,P.114 Kepong,P.114 Kepong
388,3.0147417,101.435952,3,P.110 Klang,N.47 Pandamaran
389,3.101869267,101.5360437,3,P.108 Shah Alam,N.40 Kota Anggerik
390,3.460556567,101.6588528,3,P.094 Hulu Selangor,N.07 Batang Kali
391,3.135114833,101.7409621,3,P.100 Pandan,N.21 Pandan Indah
392,3.0820028,101.7353199,3,P.123 Cheras,P.123 Cheras
