Cluster_ID,Centroid_Lat,Centroid_Lon,Total_POI,parlimen,dun
253,3.193847667,101.6309081,3,P.117 Segambut,P.117 Segambut
254,3.40368481,101.5602225,5,P.094 Hulu Selangor,N.07 Batang Kali
255,2.92076076,101.656316,6,P.113 Sepang,N.55 Dengkil
256,2.945984673,101.7216973,3,P.125 Putrajaya,P.125 Putrajaya
257,2.95336688,101.757067,5,P.102 Bangi,N.26 Sungai Ramal
258,2.996418833,101.8137429,3,P.102 Bangi,N.25 Kajang
259,3.005152167,101.5350906,4,P.111 Kota Raja,N.50 Kota Kemuning
260,3.029731533,101.5367454,3,P.111 Kota Raja,N.50 Kota Kemuning
261,3.04854939,101.7589428,4,P.102 Bangi,N.27 Balakong
262,3.070787852,101.6921561,5,P.122 Seputeh,P.122 Seputeh
263,3.074472033,101.6494713,4,P.105 Petaling Jaya,N.33 Taman Medan
264,3.079790033,101.5939364,3,P.104 Subang,N.31 Subang Jaya
265,3.128735733,101.753985,3,P.100 Pandan,N.22 Teratai
266,3.157769967,101.7508884,7,P.099 Ampang,N.19 Bukit Antarabangsa
267,3.176428,101.5481723,3,P.107 Sungai Buloh,N.39 Kota Damansara
268,3.2117313,101.5642838,3,P.107 Sungai Buloh,N.38 Paya Jaras
269,2.959992733,101.4661265,4,P.110 Klang,N.46 Pelabuhan Klang
270,3.004449733,101.5370683,3,P.111 Kota Raja,N.50 Kota Kemuning
271,3.067872433,101.489363,3,P.108 Shah Alam,N.40 Kota Anggerik
272,3.068404967,101.6030818,3,P.104 Subang,N.31 Subang Jaya
273,3.105116306,101.5961246,10,P.105 Petaling Jaya,N.32 Seri Setia
274,3.11121779,101.6679008,4,P.121 Lembah Pantai,P.121 Lembah Pantai
275,3.117423799,101.6777234,14,P.121 Lembah Pantai,P.121 Lembah Pantai
276,3.160947334,101.5124977,6,P.108 Shah Alam,N.40 Kota Anggerik
277,3.163011044,101.6505041,5,P.117 Segambut,P.117 Segambut
278,3.178483967,101.5478913,3,P.107 Sungai Buloh,N.39 Kota Damansara
279,2.96919712,101.7168098,5,P.113 Sepang,N.55 Dengkil
280,2.991472,101.7943391,7,P.102 Bangi,N.25 Kajang
281,3.072427458,101.6061112,5,P.105 Petaling Jaya,N.32 Seri Setia
282,3.07639544,101.5479008,6,P.108 Shah Alam,N.40 Kota Anggerik
283,3.149343672,101.6966793,7,P.120 Bukit Bintang,P.120 Bukit Bintang
284,3.148767726,101.7134414,6,P.120 Bukit Bintang,P.120 Bukit Bintang
285,2.8129963,101.5081156,4,P.112 Kuala Langat,N.52 Banting
286,2.939389117,101.7108676,7,P.125 Putrajaya,P.125 Putrajaya
287,2.9885838,101.4658644,3,P.111 Kota Raja,N.49 Sungai Kandis
288,2.99449513,101.4444922,7,P.111 Kota Raja,N.48 Sentosa
289,3.020152567,101.625027,3,P.104 Subang,N.30 Kinrara
290,3.033564607,101.7648162,5,P.102 Bangi,N.27 Balakong
