Source.Name,state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun,Cell X,Cell Y,Lat,Lon,Coor,intersect_perc,state.1,parlimen.1,dun.1,code_state.1,code_parlimen.1,code_dun.1,code_state_dun.1,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,eth_perc,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_perc,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,coordinate1,population_every_1km2
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,0,3,2.835,101.285,"2.84, 101.29",11.72120197,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.285",44.9405615
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,1,3,2.835,101.295,"2.84, 101.3",35.11157131,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.295",134.6221773
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2,3,2.835,101.305,"2.84, 101.31",67.61582744,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.305",259.2475806
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,3,3,2.835,101.315,"2.84, 101.32",77.79144686,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.315",298.2621843
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,4,3,2.835,101.325,"2.84, 101.33",96.7832321,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.325",371.0790759
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,5,3,2.835,101.335,"2.84, 101.34",100.0,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.335",383.4125683
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,6,3,2.835,101.345,"2.84, 101.35",100.0,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.345",383.4125683
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,7,3,2.835,101.355,"2.84, 101.36",100.0,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.355",383.4125683
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,8,3,2.835,101.365,"2.84, 101.37",100.0,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.365",383.4125683
N.51 Sijangkang.csv,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,9,3,2.835,101.375,"2.84, 101.38",100.0,Selangor,P.112 Kuala Langat,N.51 Sijangkang,10,P.112,N.51,10_N.51,2020,366,140329,134561,5768,72907,67422,78.625,11.925,9.225,0.225,99.9,24.6,70.6,4.8,100.0,71.6,46091,38134,3.6,1841,975,866,502,300,202,77.8,2.9,7732,9131,4689,0.315,3.2,617.0,2230,57.0,84,58,20,3,3,4,236,285,2363,100.0,0.0,0.0,100,0,"2.835, 101.375",383.4125683
