station_name,location,type,latitude,longitude
Puchong Prima LRT station,"Persiaran Puchong Permai  Taman Puchong Prima  47150, Puchong, SelangorMalaysia",LRT,3.005267,101.606781
Pusat Bandar Damansara MRT station,,MRT,3.143411,101.662242
Pusat Bandar Puchong LRT station,"Damansara–Puchong Expressway  Pusat Bandar Puchong  47160 Puchong, SelangorMalaysia",LRT,3.036029,101.616056
Putra Heights LRT station,"Putra Point Commercial Center  Persiaran Putra Indah, Putra Heights  47650, Subang Jaya, Selangor, Malaysia",LRT,3.012442,101.579268
Putra Permai MRT station,,MRT,2.982544,101.658625
Putrajaya Sentral,,MRT,2.931216,101.670035
Raja Chulan station,,Monorail,3.1503327,101.7061638
Raja Uda MRT station,,MRT,3.174289,101.704158
Salak Selatan LRT station,"Jalan Sungai Besi, Salak South, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Semantan MRT station,,MRT,3.151169,101.666144
Sentul Barat MRT station,,MRT,3.179386,101.684203
Serdang Jaya MRT station,,MRT,3.022347,101.708711
Serdang Raya Selatan MRT station,,MRT,3.028486,101.707583
Serdang Raya Utara MRT station,,MRT,3.042019,101.704939
Setiawangsa LRT station,"Jalan Jelatek  AU1, Taman Setiawangsa  54200, Kuala Lumpur  Malaysia",LRT,3.177713,101.75013
Sri Damansara Barat MRT station,,MRT,3.1986356,101.608204
Sri Damansara Timur MRT station,,MRT,3.2095001,101.6305915
Sri Delima MRT station,,MRT,3.2072,101.6654
Sri Petaling LRT station,"Sri Petaling, Kuala Lumpur, Malaysia.",LRT,3.068288,101.684762
Sri Rampai LRT station,"Jalan Wangsa Perdana 1  Taman Sri Rampai, Wangsa Maju  53300, Kuala Lumpur  Malaysia",LRT,3.201344,101.744175
Sri Raya MRT station,,MRT,3.061128,101.772842
SS15 LRT station,"Persiaran Jengka, SS15  47500, Subang Jaya, SelangorMalaysia",LRT,3.0766,101.586589
SS18 LRT station,"Persiaran Jengka, SS18  47500, Subang Jaya, SelangorMalaysia",LRT,3.06931,101.594653
Stesen LRT Ampang,"Stesen Ampang, Jalan Ampang, Pekan Ampang, 68000 Ampang, Selangor, Malaysia",LRT,3.147792,101.762239
Stesen LRT Bandaraya,"Stesen Bandaraya, Jalan Raja Laut, Pusat Bandar Kuala Lumpur, 50100 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.153366,101.699014
Stesen LRT Cahaya,"Stesen Cahaya, Jalan Pandan Cahaya 1/1, Pandan Cahaya, 68000 Ampang Jaya, Selangor, Malaysia.",LRT,3.138773,101.756844
Stesen LRT Cempaka,"Stesen Cempaka, Jalan Cempaka 8, Taman Cempaka, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.13922,101.748311
Stesen LRT Masjid Jamek,"Stesen Masjid Jamek, Jalan Tun Perak, 50050 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.1516964,101.6942371
Stesen LRT Miharja,"Stesen Miharja, Jalan 1/93, Taman Miharja, 55200 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.1470725,101.716104
Stesen LRT Pandan Indah,"Stesen Pandan Indah, Off Jalan Pandan Indah 20, Pandan Indah, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.144045,101.765455
Stesen LRT Pandan Jaya,"Stesen Pandan Jaya, Persiaran Pandan 1, Pandan Jaya, 55100 Ampang Jaya, Selangor, Malaysia",LRT,3.144045,101.765455
Stesen LRT Pudu,"Stesen Pudu, Jalan Sarawak, Pudu, 55200 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.1470725,101.716104
Stesen LRT PWTC,"Stesen PWTC, Jalan Putra, Chow Kit, 50350 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.165086,101.6978325
Stesen LRT Sentul,"Stesen Sentul, Jalan 2/48A, Bandar Baru Sentul, 51000 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.200893,101.696198
Stesen LRT Sentul Timur,"Stesen Sentul Timur, Jalan 2/48A, Bandar Baru Sentul, 51000 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.200893,101.696198
Stesen LRT Sultan Ismail,"Stesen Sultan Ismail, Jalan Sultan Ismail, Chow Kit, 50350 Kuala Lumpur, WP Kuala Lumpur, Malaysia",LRT,3.151696,101.694237
Subang Alam LRT station,"Persiaran Putra Perdana  Subang Alam, Section 28  40400, Shah Alam, SelangorMalaysia",LRT,3.017094,101.558721
Subang Jaya station,"Jalan SS16/1, SS16  47500, Subang JayaSelangorMalaysia",LRT,3.079168,101.598234
Sungai Besi station,,MRT,3.06443,101.70808
Sungai Buloh station,,MRT,3.2071473,101.5793728
Sungai Jernih MRT station,,MRT,3.001439,101.783594
Surian MRT station,,MRT,3.149778,101.592804
Taipan LRT station,"Persiaran Kewajipan  USJ6 (Taipan), UEP Subang Jaya  47610, Subang Jaya, Selangor  Malaysia",LRT,3.055689,101.580523
Taman Bahagia LRT station,Jalan SS 3/59E and Jalan SS 2/3,LRT,3.1115274,101.6124333
Taman Connaught MRT station,,MRT,3.206389,101.580278
Taman Equine MRT station,,MRT,2.989206,101.672072
Taman Jaya LRT station,"Persiaran Barat, Section 52, Petaling Jaya, Selangor, Malaysia.",LRT,3.099175,101.645023
Taman Melati LRT station,"Persiaran Pertahanan, Taman Melati  53100, Kuala Lumpur  Malaysia",LRT,3.223688,101.726384
Taman Midah MRT station,,MRT,3.104503,101.732536
Taman Mutiara MRT station,,MRT,3.090569,101.740336
Taman Naga Emas MRT station,,MRT,3.076931,101.699447
Taman Paramount LRT station,At the edge of Jalan 21/1,LRT,3.1047784,101.6232419
Taman Perindustrian Puchong LRT station,"Damansara–Puchong Expressway  Taman Perindustrian Puchong  47100 Puchong, SelangorMalaysia",LRT,3.011881,101.612986
Taman Pertama MRT station,,MRT,3.112528,101.729539
Taman Suntex MRT station,,MRT,3.071256,101.765417
Taman Tun Dr Ismail MRT station,,MRT,3.13616,101.630748
Titiwangsa station,"Jalan Tun Razak, Titiwangsa, Kuala LumpurMalaysia",LRT,3.1708319,101.6935601
Tun Razak Exchange MRT station,,MRT,3.142688,101.719985
Tun Sambanthan station,,Monorail,3.131241,101.690576
Universiti LRT station,"Beside Kuala Lumpur bound, Federal Highway.",LRT,3.07154,101.702468
UPM MRT station,,MRT,3.010872,101.704158
USJ21 LRT station,"Persiaran Kewajipan  USJ21, UEP Subang Jaya  47630, Subang Jaya, Selangor  Malaysia",LRT,3.0792,101.580845
USJ7 LRT station,"Persiaran Kewajipan  USJ7, UEP Subang Jaya  47610, Subang JayaSelangorMalaysia",LRT,3.055689,101.580523
Wangsa Maju LRT station,"Jalan 1/27A and Jalan 16/27B  Section 2, Wangsa Maju  53300, Kuala Lumpur, Malaysia",LRT,3.208613,101.733085
Wawasan LRT station,"Persiaran Kewajipan  USJ14, UEP Subang Jaya  47630, Subang Jaya, Selangor  Malaysia",LRT,3.0792,101.580845
